DATE	AKPOP	ALPOP	ARPOP	AZPOP	CAPOP	COPOP	CTPOP	DEPOP	FLPOP	GAPOP	HIPOP	IAPOP	IDPOP	ILPOP	INPOP	KSPOP	KYPOP	LAPOP	MAPOP	MDPOP	MEPOP	MIPOP	MNPOP	MOPOP	MSPOP	MTPOP	NCPOP	NDPOP	NEPOP	NHPOP	NJPOP	NMPOP	NVPOP	NYPOP	OHPOP	OKPOP	ORPOP	PAPOP	RIPOP	SCPOP	SDPOP	TNPOP	TXPOP	UTPOP	VAPOP	VTPOP	WAPOP	WIPOP	WVPOP	WYPOP
1958-01-01	224.000	3163.000	1726.000	1193.000	14880.000	1667.000	2446.000	433.000	4630.000	3804.000	605.000	2708.000	646.000	9886.000	4583.000	2142.000	2961.000	3155.000	5010.000	2982.000	944.000	7667.000	3313.000	4186.000	2086.000	666.000	4376.000	606.000	1383.000	581.000	5890.000	886.000	269.000	16601.000	9599.000	2267.000	1718.000	11058.000	858.000	2304.000	656.000	3471.000	9252.000	845.000	3914.000	380.000	2773.000	3843.000	1845.000	315.000
1959-01-01	224.000	3204.000	1756.000	1261.000	15467.000	1710.000	2523.000	441.000	4808.000	3868.000	622.000	2729.000	657.000	9986.000	4613.000	2160.000	2999.000	3208.000	5117.000	3066.000	957.000	7767.000	3366.000	4258.000	2138.000	669.000	4458.000	618.000	1397.000	596.000	6015.000	919.000	279.000	16685.000	9671.000	2289.000	1746.000	11234.000	857.000	2348.000	667.000	3522.000	9405.000	870.000	3951.000	387.000	2821.000	3891.000	1855.000	320.000
1960-01-01	229.000	3274.000	1789.000	1321.000	15870.000	1769.000	2544.000	449.000	5004.000	3956.000	642.000	2756.000	671.000	10086.000	4674.000	2183.000	3041.000	3260.000	5160.000	3113.000	975.000	7834.000	3425.000	4326.000	2182.000	679.000	4573.000	634.000	1417.000	609.000	6103.000	954.000	291.000	16838.000	9734.000	2336.000	1772.000	11329.000	855.000	2392.000	683.000	3575.000	9624.000	900.000	3986.000	389.000	2855.000	3962.000	1853.000	331.000
1961-01-01	238.000	3316.000	1806.000	1407.000	16497.000	1844.000	2586.000	461.000	5243.000	4015.000	659.000	2756.000	684.000	10130.000	4730.000	2215.000	3054.000	3287.000	5219.000	3176.000	995.000	7893.000	3470.000	4349.000	2206.000	696.000	4663.000	641.000	1446.000	618.000	6265.000	965.000	315.000	17061.000	9854.000	2380.000	1787.000	11392.000	858.000	2409.000	693.000	3622.000	9820.000	936.000	4095.000	390.000	2882.000	4009.000	1828.000	337.000
1962-01-01	246.000	3323.000	1853.000	1471.000	17072.000	1899.000	2647.000	469.000	5458.000	4086.000	684.000	2750.000	692.000	10280.000	4736.000	2231.000	3079.000	3345.000	5263.000	3263.000	994.000	7933.000	3513.000	4357.000	2243.000	698.000	4707.000	637.000	1464.000	632.000	6376.000	979.000	352.000	17301.000	9929.000	2427.000	1818.000	11355.000	871.000	2423.000	705.000	3673.000	10053.000	958.000	4180.000	393.000	2942.000	4049.000	1809.000	333.000
1963-01-01	256.000	3358.000	1875.000	1521.000	17668.000	1936.000	2727.000	483.000	5628.000	4172.000	682.000	2747.000	683.000	10402.000	4799.000	2217.000	3096.000	3377.000	5344.000	3386.000	993.000	8058.000	3531.000	4392.000	2244.000	703.000	4742.000	644.000	1476.000	649.000	6531.000	989.000	397.000	17461.000	9986.000	2439.000	1853.000	11424.000	876.000	2460.000	708.000	3718.000	10159.000	974.000	4276.000	397.000	2955.000	4112.000	1796.000	336.000
1964-01-01	263.000	3395.000	1897.000	1556.000	18151.000	1970.000	2798.000	497.000	5781.000	4258.000	700.000	2746.000	680.000	10580.000	4856.000	2209.000	3129.000	3446.000	5448.000	3492.000	993.000	8187.000	3558.000	4442.000	2241.000	706.000	4802.000	649.000	1482.000	663.000	6660.000	1006.000	426.000	17589.000	10080.000	2446.000	1888.000	11519.000	885.000	2475.000	701.000	3771.000	10270.000	978.000	4357.000	399.000	2961.000	4165.000	1797.000	339.000
1965-01-01	271.000	3443.000	1894.000	1584.000	18585.000	1985.000	2857.000	507.000	5954.000	4332.000	704.000	2742.000	686.000	10693.000	4922.000	2206.000	3140.000	3496.000	5502.000	3600.000	997.000	8357.000	3592.000	4467.000	2246.000	706.000	4863.000	649.000	1471.000	676.000	6767.000	1012.000	444.000	17734.000	10201.000	2440.000	1937.000	11620.000	893.000	2494.000	692.000	3798.000	10378.000	994.000	4411.000	404.000	2967.000	4232.000	1786.000	332.000
1966-01-01	271.000	3464.000	1899.000	1614.000	18858.000	2007.000	2903.000	516.000	6104.000	4379.000	710.000	2762.000	689.000	10836.000	4999.000	2200.000	3147.000	3550.000	5535.000	3695.000	999.000	8512.000	3617.000	4523.000	2245.000	707.000	4896.000	647.000	1456.000	681.000	6851.000	1007.000	446.000	17843.000	10330.000	2454.000	1969.000	11664.000	899.000	2520.000	683.000	3822.000	10492.000	1009.000	4456.000	413.000	3057.000	4274.000	1775.000	323.000
1967-01-01	278.000	3458.000	1901.000	1646.000	19176.000	2053.000	2935.000	525.000	6242.000	4408.000	723.000	2793.000	688.000	10947.000	5053.000	2197.000	3172.000	3581.000	5594.000	3757.000	1004.000	8630.000	3659.000	4539.000	2228.000	701.000	4952.000	626.000	1457.000	697.000	6928.000	1000.000	449.000	17935.000	10414.000	2489.000	1979.000	11681.000	909.000	2533.000	671.000	3859.000	10599.000	1019.000	4508.000	423.000	3174.000	4303.000	1769.000	322.000
