"Year","UsPopEstimate"
"2019",328240000
"2018",326690000
"2017",324990000
"2016",322940000
"2015",320640000
"2014",318300000
"2013",315990000
"2012",313830000
"2011",311560000
"2010",309320000
"2009",306770000
"2008",304090000
"2007",301230000
"2006",298380000
"2005",295520000
"2004",292810000
"2003",290110000
"2002",287630000
"2001",284970000
"2000",282160000
"1999",279040000
"1998",275850000
"1997",272650000
"1996",269390000
"1995",266280000
"1994",263130000
"1993",259920000
"1992",256510000
"1991",252980000
"1990",249620000
"1989",246820000
"1988",244500000
"1987",242290000
"1986",240130000
"1985",237920000
"1984",235820000
"1983",233790000
"1982",231660000
"1981",229470000
"1980",227220000
"1979",225060000
"1978",222580000
"1977",220240000
"1976",218040000
"1975",215970000
"1974",213850000
"1973",211910000
"1972",209900000
"1971",207660000
"1970",205050000
"1969",202680000
"1968",200710000
"1967",198710000
"1966",196560000
"1965",194300000
"1964",191890000
"1963",189240000
"1962",186540000
"1961",183690000
"1960",180670000
"1959",177830000
"1958",174880000
